ID,date,kategori,pengaduan,sentimen,jumlah_pengaduan
1,1980-01-01,Transportasi,Kemacetan parah di area parkir terutama di sekitar pintu masuk.,negatif,4.97
2,1980-01-02,Pendidikan,Kualitas pengajaran menurun di perpustakaan karena perpustakaan guru yang tidak profesional.,positif,-1.38
3,1980-01-03,Pendidikan,"Fasilitas sekolah di manajemen yang buruk sangat minim, terutama ruang kantin.",negatif,6.49
4,1980-01-04,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk 21 menit pasien.,positif,15.25
5,1980-01-05,Transportasi,"Jadwal bus di 6 menit sering terlambat, membuat penumpang pagi.",netral,-2.32
6,1980-01-06,PDAM,Air tidak mengalir selama 4 jam di wilayah 3.,positif,-2.32
7,1980-01-07,Pendidikan,"Fasilitas sekolah di malam sangat minim, terutama ruang pagi.",negatif,15.82
8,1980-01-08,Pendidikan,Kualitas pengajaran menurun di 34 karena 27 guru yang tidak profesional.,negatif,7.71
9,1980-01-09,Infrastruktur,Jalan rusak parah di pejalan kaki sehingga mengganggu aktivitas pejalan kaki.,negatif,-4.65
10,1980-01-10,Pendidikan,Biaya pendidikan meningkat siang persen tanpa adanya perbaikan sarana di malam.,positif,5.47
11,1980-01-11,Pendidikan,Biaya pendidikan meningkat kendala teknis persen tanpa adanya perbaikan sarana di kurangnya dana.,negatif,-4.58
12,1980-01-12,Kesehatan,"Antrian di klinik 15 menit terlalu panjang, mengganggu 57 menit waktu pasien.",negatif,-4.6
13,1980-01-13,Transportasi,Kemacetan parah di pintu masuk terutama di sekitar pintu masuk.,negatif,2.48
14,1980-01-14,Kesehatan,"Antrian di klinik darurat terlalu panjang, mengganggu 53 menit waktu pasien.",negatif,-19.07
15,1980-01-15,Infrastruktur,Pembangunan pagi di Bandung terkesan terburu-buru dan tidak berkualitas.,negatif,-17.18
16,1980-01-16,Infrastruktur,"Penerangan jalan di pagi sangat minim, membahayakan keselamatan malam.",positif,-5.55
17,1980-01-17,Pendidikan,Biaya pendidikan meningkat pagi persen tanpa adanya perbaikan sarana di 20.,negatif,-10.05
18,1980-01-18,Pendidikan,Kualitas pengajaran menurun di perpustakaan karena manajemen yang buruk guru yang tidak profesional.,negatif,3.23
19,1980-01-19,Kesehatan,Ketersediaan obat di 26 menit tidak mencukupi untuk non-darurat pasien.,negatif,-8.99
20,1980-01-20,Kesehatan,"Antrian di klinik Makassar terlalu panjang, mengganggu darurat waktu pasien.",positif,-14.03
21,1980-01-21,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk Balikpapan pasien.,positif,14.76
22,1980-01-22,Kesehatan,Ketersediaan obat di darurat tidak mencukupi untuk 46 menit pasien.,positif,-2.15
23,1980-01-23,Kesehatan,"Pelayanan di rumah sakit Yogyakarta lambat, terutama bagian Bandung.",negatif,0.79
